event_id,method,auprc,roc_auc,localization_error_seconds,within_0p15,within_0p30,within_0p60,top_1pct_recall,false_positive_burden,calibration_error,center_shift_seconds
EDR025,baseline:E_parallel_abs,0.20243013923338418,0.7397563676633443,4.17,False,False,False,0.2222222222222222,,,-0.03
EDR025,baseline:E_prime_magnitude,0.1193302937501355,0.819859726836471,3.6899999999999995,False,False,False,0.0,,,-0.03
EDR025,baseline:J_magnitude,0.9013548180214848,0.9966777408637875,0.0600000000000005,True,True,True,0.4444444444444444,,,-0.03
EDR025,baseline:Q,0.1905682016719103,0.8689553340716132,3.0600000000000005,False,False,False,0.1111111111111111,,,-0.03
EDR025,baseline:pressure_anisotropy_abs,0.024311905450682514,0.3647102251753414,5.309999999999999,False,False,False,0.0,,,-0.03
EDR025,nonlinear_invariant,0.4976291739449635,0.9844961240310078,3.0600000000000005,False,False,False,0.1111111111111111,0.021728174451847628,0.01978843243142013,-0.03
EDR025,sparse_invariant,0.3664443581110248,0.9708379475821336,3.0600000000000005,False,False,False,0.1111111111111111,0.03757787783230264,0.04724872236284976,-0.03
EDR028,baseline:D_e_abs,0.10742371557187297,0.8168896321070234,0.75,False,False,False,0.0,,,-0.03
EDR028,baseline:D_e_normalized,0.02844791838536108,0.5016722408026756,1.4699999999999998,False,False,False,0.0,,,-0.03
EDR028,baseline:D_e_positive,0.05272756291389431,0.560200668896321,0.8099999999999996,False,False,False,0.0,,,-0.03
EDR028,baseline:E_parallel_abs,0.03407710086944401,0.544314381270903,2.4299999999999997,False,False,False,0.0,,,-0.03
EDR028,baseline:E_prime_magnitude,0.032047006283500254,0.5510033444816054,0.75,False,False,False,0.0,,,-0.03
EDR028,baseline:J_magnitude,1.0,1.0,0.03000000000000025,True,True,True,0.5,,,-0.03
EDR028,baseline:Q,0.05016816917080032,0.5117056856187291,2.16,False,False,False,0.0,,,-0.03
EDR028,baseline:pressure_anisotropy_abs,0.023168408792298208,0.382943143812709,1.7699999999999996,False,False,False,0.0,,,-0.03
EDR028,nonlinear_invariant,0.6249323593073592,0.9912207357859532,0.1800000000000006,False,True,True,0.25,0.01777322746111824,0.026340358066526872,-0.03
EDR028,sparse_invariant,0.9206845238095238,0.9979096989966555,0.15000000000000036,False,True,True,0.5,0.03697680056736933,0.04883035511034378,-0.03
EDR034,baseline:D_e_abs,0.45271388646232696,0.91546696197859,0.02999999999999936,True,True,True,0.2222222222222222,,,-0.03
EDR034,baseline:D_e_normalized,0.05237301864221613,0.6936138796603912,2.1,False,False,False,0.0,,,-0.03
EDR034,baseline:D_e_positive,0.4226083510600611,0.8645256552233296,0.02999999999999936,True,True,True,0.2222222222222222,,,-0.03
EDR034,baseline:E_parallel_abs,0.4733975900642567,0.8781838316722038,0.0,True,True,True,0.3333333333333333,,,-0.03
EDR034,baseline:E_prime_magnitude,0.2812364007523662,0.7301587301587301,0.02999999999999936,True,True,True,0.2222222222222222,,,-0.03
EDR034,baseline:J_magnitude,0.64217154270267,0.8918420081210778,0.0,True,True,True,0.4444444444444444,,,-0.03
EDR034,baseline:Q,0.07440684871922928,0.7571059431524547,0.5099999999999998,False,False,True,0.0,,,-0.03
EDR034,baseline:pressure_anisotropy_abs,0.27214400495335167,0.5060908084163898,0.08999999999999986,True,True,True,0.2222222222222222,,,-0.03
EDR034,nonlinear_invariant,0.6293285896734173,0.9730527870062754,0.0,True,True,True,0.3333333333333333,0.006692940128918829,0.02033917700061141,-0.03
EDR034,sparse_invariant,0.45307749024520744,0.864156515319306,0.0,True,True,True,0.2222222222222222,0.022925504804324526,0.0053103171059075225,-0.03
EDR035,baseline:D_e_abs,0.4102070531941604,0.8844592100406055,0.02999999999999936,True,True,True,0.3333333333333333,,,-0.03
EDR035,baseline:D_e_normalized,0.04484394810020885,0.5692137320044297,5.58,False,False,False,0.0,,,-0.03
EDR035,baseline:D_e_positive,0.2702320316921335,0.5697674418604651,0.02999999999999936,True,True,True,0.2222222222222222,,,-0.03
EDR035,baseline:E_parallel_abs,0.5388561919222704,0.8187523071244001,0.02999999999999936,True,True,True,0.3333333333333333,,,-0.03
EDR035,baseline:E_prime_magnitude,0.37726916829365503,0.7264673311184939,0.02999999999999936,True,True,True,0.3333333333333333,,,-0.03
EDR035,baseline:J_magnitude,0.8616402116402118,0.9937246216315984,0.0,True,True,True,0.4444444444444444,,,-0.03
EDR035,baseline:Q,0.636339801582806,0.9287559985234404,0.1800000000000006,False,True,True,0.3333333333333333,,,-0.03
EDR035,baseline:pressure_anisotropy_abs,0.45981495356495355,0.9335548172757475,0.2400000000000002,False,True,True,0.3333333333333333,,,-0.03
EDR035,nonlinear_invariant,0.9183006535947713,0.9907715023994094,0.1800000000000006,False,True,True,0.4444444444444444,0.006939946158288521,0.021147070790944328,-0.03
EDR035,sparse_invariant,0.847863247863248,0.9844961240310077,0.1800000000000006,False,True,True,0.4444444444444444,0.026794978867522506,0.028193812060180776,-0.03
EDR041,baseline:D_e_abs,0.24330669330669333,0.9247491638795987,2.64,False,False,False,0.16666666666666666,,,-0.03
EDR041,baseline:D_e_normalized,0.02532201418518891,0.5094760312151616,4.529999999999999,False,False,False,0.0,,,-0.03
EDR041,baseline:D_e_positive,0.4004967709885743,0.7474916387959866,0.0,True,True,True,0.3333333333333333,,,-0.03
EDR041,baseline:E_parallel_abs,0.10675833560224218,0.8584169453734671,1.9500000000000002,False,False,False,0.0,,,-0.03
