event_id,method,auprc,roc_auc,localization_error_seconds,within_0p15,within_0p30,within_0p60,top_1pct_recall,false_positive_burden,calibration_error,ablation
EDR028,sparse_invariant,0.8121315192743763,0.9966666666666666,0.03000000000000025,True,True,True,0.42857142857142855,0.04131949696888701,0.052153137066951016,established_only
EDR034,nonlinear_invariant,0.354963924963925,0.9299999999999999,0.0,True,True,True,0.2,0.011183479984188201,0.020069693468531775,established_only
EDR034,sparse_invariant,0.47877858949731095,0.7673333333333333,0.0,True,True,True,0.3,0.026935413863342295,0.004622907307320198,established_only
EDR035,nonlinear_invariant,0.8096087851750171,0.8851666666666667,0.0,True,True,True,0.4,0.009355999584443195,0.021433677811361476,established_only
EDR035,sparse_invariant,0.8546672771672771,0.9923333333333333,0.1800000000000006,False,True,True,0.4,0.025210113168702888,0.010738854314561511,established_only
EDR041,nonlinear_invariant,0.49306471306471306,0.978,0.08999999999999986,True,True,True,0.2,0.018112449220721184,0.01639171168543725,established_only
EDR041,sparse_invariant,0.9666666666666668,0.9993333333333334,0.0,True,True,True,0.8,0.03214948727329953,0.03839419099272773,established_only
EDR054,nonlinear_invariant,0.9651515151515151,0.998688524590164,0.0,True,True,True,0.4,0.008563582827189291,0.02090112713270032,established_only
EDR054,sparse_invariant,0.9833333333333333,0.9993442622950819,0.03000000000000025,True,True,True,0.4,0.024187582317776738,0.005240691131624874,established_only
EDR060,nonlinear_invariant,0.08070707070707071,0.8885245901639344,0.3899999999999997,False,False,True,0.0,0.027240957925370565,0.011558076107411037,established_only
EDR060,sparse_invariant,0.1388011695906433,0.9377049180327869,0.6899999999999995,False,False,False,0.0,0.04433979414671194,0.029133532657901605,established_only
EDR064,nonlinear_invariant,0.5234096795960124,0.9028333333333333,0.0,True,True,True,0.4,0.009017975503140565,0.021508269564853903,established_only
EDR064,sparse_invariant,0.5814900369340203,0.898,0.0,True,True,True,0.4,0.02604107877613837,0.005753028663200687,established_only
EDR066,nonlinear_invariant,0.8015873015873016,0.9812962962962963,0.0,True,True,True,0.4444444444444444,0.008999212823197275,0.01805554284665544,established_only
EDR066,sparse_invariant,0.8467281510759772,0.9855555555555556,0.05999999999999961,True,True,True,0.4444444444444444,0.025244716271751434,0.018328281512140176,established_only
EDR072,nonlinear_invariant,0.890909090909091,0.9961904761904762,0.03000000000000025,True,True,True,0.5714285714285714,0.016828115214805126,0.023453522584435477,established_only
EDR072,sparse_invariant,0.9999999999999998,1.0,0.1200000000000001,True,True,True,0.5714285714285714,0.03189848409477344,0.027945846901569066,established_only
EDR001,nonlinear_invariant,0.4726968865391916,0.9156146179401993,0.0,True,True,True,0.2,0.008862199070347675,0.022950762466252824,all_invariant
EDR001,sparse_invariant,0.41624341238471674,0.9362126245847177,0.0,True,True,True,0.2,0.01939186257217844,0.011416487692571569,all_invariant
EDR003,nonlinear_invariant,0.47448275862068967,0.9282539682539683,0.02999999999999936,True,True,True,0.4,0.012202275380957495,0.007093031651747144,all_invariant
EDR003,sparse_invariant,0.18799988055422837,0.8825396825396826,5.1,False,False,False,0.2,0.032254339456142464,0.023904446278606575,all_invariant
EDR007,nonlinear_invariant,0.8063492063492064,0.8465573770491804,0.0600000000000005,True,True,True,0.4,0.011083826153855702,0.02487749124024726,all_invariant
EDR007,sparse_invariant,0.7907397504456328,0.878688524590164,0.02999999999999936,True,True,True,0.4,0.028840366914729923,0.03231524366739755,all_invariant
EDR011,nonlinear_invariant,0.4672230003112356,0.8130555555555556,0.8100000000000005,False,False,False,0.5,0.02429912948058891,0.01969439946331712,all_invariant
EDR011,sparse_invariant,0.49045089497392125,0.8994444444444445,0.02999999999999936,True,True,True,0.3333333333333333,0.04583105821362628,0.038844671106503165,all_invariant
EDR013,nonlinear_invariant,0.6333333333333333,0.9876666666666666,2.7600000000000002,False,False,False,0.0,0.031502811523995526,0.035802437935804884,all_invariant
EDR013,sparse_invariant,0.4931490671813253,0.968,0.41999999999999993,False,False,True,0.3,0.053225304791283984,0.051683821166475415,all_invariant
EDR014,nonlinear_invariant,0.30434782608695654,0.9733333333333334,4.38,False,False,False,0.0,0.037598273379472975,0.03178946456478334,all_invariant
EDR014,sparse_invariant,0.8752628324056895,0.9966666666666667,0.2699999999999996,False,True,True,0.42857142857142855,0.0624623869946114,0.06150280245541715,all_invariant
EDR015,nonlinear_invariant,0.7777777777777778,0.9966666666666667,5.3100000000000005,False,False,False,0.2857142857142857,0.0207078617920806,0.035818970171936,all_invariant
EDR015,sparse_invariant,0.982142857142857,0.9995238095238096,0.05999999999999961,True,True,True,0.5714285714285714,0.039030593300133254,0.04260029031997237,all_invariant
EDR017,nonlinear_invariant,0.5582010582010581,0.9822222222222222,0.14999999999999947,True,True,True,0.3333333333333333,0.013616124939867736,0.006370094853227461,all_invariant
EDR017,sparse_invariant,0.5596560846560846,0.9733333333333333,0.14999999999999947,True,True,True,0.3333333333333333,0.03540055184032009,0.027970880298789483,all_invariant
EDR018,nonlinear_invariant,0.39868215304757143,0.9376666666666668,3.0,False,False,False,0.0,0.03516703422319803,0.03677463143389591,all_invariant
EDR018,sparse_invariant,0.542174185463659,0.9073333333333333,0.02999999999999936,True,True,True,0.3,0.052796636094146226,0.039878711833079096,all_invariant
EDR019,nonlinear_invariant,0.8457070707070706,0.9970099667774086,0.7200000000000006,False,False,False,0.3,0.01875587656301583,0.041944220027699486,all_invariant
