noise_fraction,trial,method,auprc,improvement_survives
0.005,41,baseline:D_e_normalized,0.05546164913370732,False
0.005,41,baseline:D_e_positive,0.31655263119089455,False
0.005,41,baseline:E_parallel_abs,0.2351999703417994,False
0.005,41,baseline:E_prime_magnitude,0.2207060303691369,False
0.005,41,baseline:J_magnitude,0.7189847686214406,False
0.005,41,baseline:Q,0.393294590063144,False
0.005,41,baseline:pressure_anisotropy_abs,0.1558542597396775,False
0.005,41,nonlinear_invariant,0.5710505360473465,False
0.005,41,sparse_invariant,0.6183560676516188,False
0.005,42,baseline:D_e_abs,0.38529385561116475,False
0.005,42,baseline:D_e_normalized,0.053428844187014095,False
0.005,42,baseline:D_e_positive,0.3162673938227996,False
0.005,42,baseline:E_parallel_abs,0.23523569138099734,False
0.005,42,baseline:E_prime_magnitude,0.22098554711338214,False
0.005,42,baseline:J_magnitude,0.7204639683598107,False
0.005,42,baseline:Q,0.39158518598229414,False
0.005,42,baseline:pressure_anisotropy_abs,0.1556635173467357,False
0.005,42,nonlinear_invariant,0.587011927189984,False
0.005,42,sparse_invariant,0.6070429902077361,False
0.005,43,baseline:D_e_abs,0.38407955876994976,False
0.005,43,baseline:D_e_normalized,0.05560562424931589,False
0.005,43,baseline:D_e_positive,0.31534332273967575,False
0.005,43,baseline:E_parallel_abs,0.2321282702234677,False
0.005,43,baseline:E_prime_magnitude,0.22070090102914205,False
0.005,43,baseline:J_magnitude,0.7222092195652744,False
0.005,43,baseline:Q,0.39685513214270846,False
0.005,43,baseline:pressure_anisotropy_abs,0.15618311101147997,False
0.005,43,nonlinear_invariant,0.5794311131509239,False
0.005,43,sparse_invariant,0.6199533426337568,False
0.005,44,baseline:D_e_abs,0.3854418501117897,False
0.005,44,baseline:D_e_normalized,0.05559927780096616,False
0.005,44,baseline:D_e_positive,0.31525145733208615,False
0.005,44,baseline:E_parallel_abs,0.23550724146519186,False
0.005,44,baseline:E_prime_magnitude,0.2213682437927874,False
0.005,44,baseline:J_magnitude,0.7217364958719289,False
0.005,44,baseline:Q,0.4032530663798377,False
0.005,44,baseline:pressure_anisotropy_abs,0.15593899775810854,False
0.005,44,nonlinear_invariant,0.5884364008872426,False
0.005,44,sparse_invariant,0.6205549215107827,False
0.005,45,baseline:D_e_abs,0.3858459905745328,False
0.005,45,baseline:D_e_normalized,0.054937087239359216,False
0.005,45,baseline:D_e_positive,0.3170508406369243,False
0.005,45,baseline:E_parallel_abs,0.2369646722686628,False
0.005,45,baseline:E_prime_magnitude,0.22063253345071054,False
0.005,45,baseline:J_magnitude,0.7211536846783435,False
0.005,45,baseline:Q,0.3962766915392284,False
0.005,45,baseline:pressure_anisotropy_abs,0.155604098736241,False
0.005,45,nonlinear_invariant,0.5830000730404499,False
0.005,45,sparse_invariant,0.6180852121018839,False
0.005,46,baseline:D_e_abs,0.38445887119460537,False
0.005,46,baseline:D_e_normalized,0.05567042808400088,False
0.005,46,baseline:D_e_positive,0.3157567760767256,False
0.005,46,baseline:E_parallel_abs,0.2326545241152245,False
0.005,46,baseline:E_prime_magnitude,0.22221032506712535,False
0.005,46,baseline:J_magnitude,0.7223600466989885,False
0.005,46,baseline:Q,0.3905678574279816,False
0.005,46,baseline:pressure_anisotropy_abs,0.15547801372262268,False
0.005,46,nonlinear_invariant,0.5889504348414671,False
0.005,46,sparse_invariant,0.6205345783239841,False
0.005,47,baseline:D_e_abs,0.3845339117021418,False
0.005,47,baseline:D_e_normalized,0.05535118190211912,False
0.005,47,baseline:D_e_positive,0.31687483446620274,False
0.005,47,baseline:E_parallel_abs,0.23093596417884044,False
0.005,47,baseline:E_prime_magnitude,0.22163849299649288,False
0.005,47,baseline:J_magnitude,0.7198928319813923,False
0.005,47,baseline:Q,0.39244437449529784,False
0.005,47,baseline:pressure_anisotropy_abs,0.15514879512464294,False
0.005,47,nonlinear_invariant,0.5886535968761424,False
0.005,47,sparse_invariant,0.6222529272339915,False
0.005,48,baseline:D_e_abs,0.38783543377606056,False
0.005,48,baseline:D_e_normalized,0.05413567006403749,False
0.005,48,baseline:D_e_positive,0.3163325802291344,False
0.005,48,baseline:E_parallel_abs,0.2328507218719528,False
0.005,48,baseline:E_prime_magnitude,0.218616571841843,False
0.005,48,baseline:J_magnitude,0.7221043245612505,False
0.005,48,baseline:Q,0.388044115433498,False
0.005,48,baseline:pressure_anisotropy_abs,0.1558268967837205,False
