fit_error_arcsec,minimum_stations,radiant_sigma_radius,time_half_width_deg,activity_table,odds_ratio,activity_p,members,members_by_year,represented_years,orbit_median_d,orbit_q90_d,maximum_cross_year_medoid_d,eligible,passed
120.0,4,2.5,5.0,"[[32, 5519], [11, 12111]]",6.383765174850517,8.241889053860525e-09,32,"{'2022': 2, '2023': 2, '2024': 3, '2025': 8, '2026': 17}",5,0.03891770150090819,0.09178665019337393,0.03162121857158853,True,True
120.0,4,3.0,3.0,"[[32, 3482], [20, 12102]]",5.560941987363584,1.560638892826124e-09,32,"{'2022': 2, '2023': 2, '2024': 4, '2025': 7, '2026': 17}",5,0.03891770150090819,0.0682347192054468,0.04298122885284789,True,True
120.0,4,3.0,4.0,"[[33, 4593], [20, 12102]]",4.3475506205094705,1.398747802329605e-07,33,"{'2022': 2, '2023': 2, '2024': 4, '2025': 8, '2026': 17}",5,0.039180695706154726,0.07719065370102193,0.04298122885284789,True,True
120.0,4,3.0,5.0,"[[35, 5516], [20, 12102]]",3.839467005076142,8.552789178805273e-07,35,"{'2022': 2, '2023': 2, '2024': 4, '2025': 8, '2026': 19}",5,0.04218162901065501,0.08957595081254731,0.04298122885284789,True,True
120.0,4,3.5,3.0,"[[36, 3478], [29, 12093]]",4.31627372052904,8.46461962528048e-09,36,"{'2022': 2, '2023': 2, '2024': 4, '2025': 7, '2026': 21}",5,0.046725896044925885,0.08612851377106179,0.04298122885284789,True,True
120.0,4,3.5,4.0,"[[41, 4585], [29, 12093]]",3.728898582333697,5.332718510194081e-08,41,"{'2022': 2, '2023': 3, '2024': 4, '2025': 9, '2026': 23}",5,0.05063626981232832,0.09694664490967166,0.06850408505296264,True,True
120.0,4,3.5,5.0,"[[45, 5506], [29, 12093]]",3.408100254268071,1.706702326029338e-07,45,"{'2022': 2, '2023': 3, '2024': 4, '2025': 9, '2026': 27}",5,0.05425297762387548,0.1166522325535003,0.06850408505296264,True,True
180.0,2,2.5,3.0,"[[77, 11006], [36, 40374]]",7.846220243503543,2.821682266649739e-26,77,"{'2022': 10, '2023': 6, '2024': 10, '2025': 28, '2026': 23}",5,0.03886589309369469,0.0803022391147018,0.05044011767558817,True,True
180.0,2,2.5,4.0,"[[82, 14554], [36, 40374]]",6.318743987907105,2.741329101007041e-22,82,"{'2022': 10, '2023': 6, '2024': 11, '2025': 31, '2026': 24}",5,0.04019571221917833,0.07739771206086374,0.05044011767558817,True,True
180.0,2,2.5,5.0,"[[89, 17674], [36, 40374]]",5.647476519180717,9.4406300185628e-21,89,"{'2022': 10, '2023': 6, '2024': 12, '2025': 32, '2026': 29}",5,0.042293894791868555,0.09452964630802357,0.05044011767558817,True,True
180.0,2,3.0,3.0,"[[89, 10994], [64, 40346]]",5.103343300891395,7.746892178680322e-23,89,"{'2022': 10, '2023': 8, '2024': 13, '2025': 32, '2026': 26}",5,0.043038052602792295,0.08947590811696962,0.05044011767558817,True,True
180.0,2,3.0,4.0,"[[96, 14540], [64, 40346]]",4.162242090784044,6.507450507440471e-19,96,"{'2022': 10, '2023': 8, '2024': 14, '2025': 35, '2026': 29}",5,0.04401330859770221,0.09049191165594403,0.05044011767558817,True,True
180.0,2,3.0,5.0,"[[105, 17658], [64, 40346]]",3.7485930598029222,2.249402508449675e-17,105,"{'2022': 10, '2023': 9, '2024': 15, '2025': 37, '2026': 34}",5,0.046221516700876396,0.10502283818270577,0.049960106986179746,True,True
180.0,2,3.5,3.0,"[[98, 10985], [107, 40303]]",3.3603120653057057,6.494406940850506e-17,98,"{'2022': 11, '2023': 11, '2024': 13, '2025': 33, '2026': 30}",5,0.044654003164974615,0.09680935291138011,0.05044011767558817,True,True
180.0,2,3.5,4.0,"[[114, 14522], [107, 40303]]",2.956868534624231,2.3761257292981163e-15,114,"{'2022': 12, '2023': 12, '2024': 14, '2025': 39, '2026': 37}",5,0.04992440266969575,0.10954834313090595,0.05596257915434147,True,True
180.0,2,3.5,5.0,"[[129, 17634], [107, 40303]]",2.7554495934468144,1.1409453295908607e-14,129,"{'2022': 12, '2023': 14, '2024': 15, '2025': 42, '2026': 46}",5,0.055480427289299215,0.13461878253806317,0.049960106986179746,True,True
180.0,3,2.5,3.0,"[[40, 5777], [14, 20846]]",10.309849402804224,3.664528133403775e-16,40,"{'2022': 4, '2023': 3, '2024': 5, '2025': 10, '2026': 18}",5,0.03891770150090819,0.06804790158926419,0.08447124790785292,True,True
180.0,3,2.5,4.0,"[[44, 7656], [14, 20846]]",8.557471264367816,1.17497804282178e-14,44,"{'2022': 4, '2023': 3, '2024': 6, '2025': 12, '2026': 19}",5,0.042963694807329714,0.08563451952653728,0.08447124790785292,True,True
180.0,3,2.5,5.0,"[[49, 9243], [14, 20846]]",7.893649248079628,2.049100014707985e-14,49,"{'2022': 4, '2023': 3, '2024': 7, '2025': 12, '2026': 23}",5,0.04444997176720704,0.1048039867264702,0.08447124790785292,True,True
180.0,3,3.0,3.0,"[[48, 5769], [26, 20834]]",6.667146685867435,2.0639344530111045e-15,48,"{'2022': 4, '2023': 5, '2024': 7, '2025': 12, '2026': 20}",5,0.04409537845269694,0.08520842922697747,0.08447124790785292,True,True
180.0,3,3.0,4.0,"[[52, 7648], [26, 20834]]",5.448221757322176,2.7628706726257305e-13,52,"{'2022': 4, '2023': 5, '2024': 8, '2025': 14, '2026': 21}",5,0.046487846285910295,0.0941573964697653,0.08447124790785292,True,True
180.0,3,3.0,5.0,"[[57, 9235], [26, 20834]]",4.945808171254842,1.400362070935476e-12,57,"{'2022': 4, '2023': 5, '2024': 9, '2025': 14, '2026': 25}",5,0.04872301558745127,0.10646474945123778,0.08447124790785292,True,True
180.0,3,3.5,3.0,"[[53, 5764], [40, 20820]]",4.785999306037474,1.7390675298078273e-13,53,"{'2022': 4, '2023': 5, '2024': 7, '2025': 12, '2026': 25}",5,0.046990512304678864,0.10122781911078581,0.08447124790785292,True,True
180.0,3,3.5,4.0,"[[61, 7639], [40, 20820]]",4.156368634638041,1.7657446894588311e-12,61,"{'2022': 4, '2023': 6, '2024': 8, '2025': 15, '2026': 28}",5,0.05153370367660388,0.12329843405398411,0.07038288063520268,True,True
180.0,3,3.5,5.0,"[[68, 9224], [40, 20820]]",3.8371639202081527,5.5101696270037714e-12,68,"{'2022': 4, '2023': 6, '2024': 9, '2025': 15, '2026': 34}",5,0.05430804848214881,0.1146541959934124,0.07038288063520268,True,True
180.0,4,2.5,3.0,"[[30, 3551], [11, 12301]]",9.44753078518215,7.547052626338843e-12,30,"{'2022': 3, '2023': 2, '2024': 3, '2025': 7, '2026': 15}",5,0.03752755757892528,0.0596826077372848,0.06054426272731777,True,True
180.0,4,2.5,4.0,"[[31, 4682], [11, 12301]]",7.4041978952273695,6.738388446122431e-10,31,"{'2022': 3, '2023': 2, '2024': 3, '2025': 8, '2026': 15}",5,0.03865470729566165,0.06014608432042478,0.06054426272731777,True,True
